id,day,checkin,checkout
1067,2017-11-07,0,0
1118,2017-11-07,0,0
1059,2017-11-07,0,0
1110,2017-11-07,0,0
1181,2017-11-07,0,0
1145,2017-11-07,0,0
1370,2017-11-07,2017-11-07 06:29:57,2017-11-07 18:12:33
1180,2017-11-07,2017-11-07 06:55:51,2017-11-07 19:40:48
1137,2017-11-07,2017-11-07 06:56:18,2017-11-07 19:25:18
1140,2017-11-07,2017-11-07 06:59:38,2017-11-07 19:37:36
1253,2017-11-07,2017-11-07 07:03:51,2017-11-07 17:04:02
1226,2017-11-07,2017-11-07 07:07:28,2017-11-07 17:36:52
1102,2017-11-07,2017-11-07 07:15:25,2017-11-07 19:09:30
1359,2017-11-07,2017-11-07 07:17:36,2017-11-07 19:06:15
1397,2017-11-07,2017-11-07 07:17:42,2017-11-07 18:05:27
1041,2017-11-07,2017-11-07 07:21:19,2017-11-07 13:58:15
1493,2017-11-07,2017-11-07 07:24:46,2017-11-07 20:08:40
1210,2017-11-07,2017-11-07 07:27:09,2017-11-07 20:31:48
1456,2017-11-07,2017-11-07 07:28:02,2017-11-07 20:11:40
1467,2017-11-07,2017-11-07 07:30:20,2017-11-07 18:19:50
1186,2017-11-07,2017-11-07 07:30:58,2017-11-07 17:41:04
1431,2017-11-07,2017-11-07 07:31:36,2017-11-07 17:16:36
1204,2017-11-07,2017-11-07 07:31:47,2017-11-07 18:06:32
1342,2017-11-07,2017-11-07 07:36:24,2017-11-07 17:39:15
1257,2017-11-07,2017-11-07 07:37:47,2017-11-07 21:16:55
1417,2017-11-07,2017-11-07 07:37:56,2017-11-07 20:39:15
1167,2017-11-07,2017-11-07 07:38:48,2017-11-07 20:38:56
1220,2017-11-07,2017-11-07 07:42:14,2017-11-07 19:10:27
1124,2017-11-07,2017-11-07 07:42:48,2017-11-07 19:53:50
1108,2017-11-07,2017-11-07 07:42:57,2017-11-07 18:42:21
1457,2017-11-07,2017-11-07 07:43:24,2017-11-07 20:29:23
1307,2017-11-07,2017-11-07 07:44:54,2017-11-07 21:14:11
1484,2017-11-07,2017-11-07 07:48:26,2017-11-07 19:48:50
1451,2017-11-07,2017-11-07 07:51:01,2017-11-07 19:44:26
1368,2017-11-07,2017-11-07 07:52:29,2017-11-07 17:13:21
1154,2017-11-07,2017-11-07 07:52:36,2017-11-07 19:25:17
1498,2017-11-07,2017-11-07 07:52:48,2017-11-07 18:05:24
1369,2017-11-07,2017-11-07 07:53:05,2017-11-07 17:34:14
1255,2017-11-07,2017-11-07 07:54:03,2017-11-07 19:54:09
1293,2017-11-07,2017-11-07 07:54:37,2017-11-07 19:48:24
1439,2017-11-07,2017-11-07 07:55:43,2017-11-07 17:49:10
1213,2017-11-07,2017-11-07 07:56:40,2017-11-07 18:52:26
1347,2017-11-07,2017-11-07 07:57:06,2017-11-07 17:54:42
1459,2017-11-07,2017-11-07 07:57:29,2017-11-07 19:26:18
1346,2017-11-07,2017-11-07 07:57:59,2017-11-07 20:57:30
1151,2017-11-07,2017-11-07 07:59:09,2017-11-07 20:53:21
1248,2017-11-07,2017-11-07 07:59:35,2017-11-07 17:45:53
1252,2017-11-07,2017-11-07 08:03:43,2017-11-07 18:35:02
1351,2017-11-07,2017-11-07 08:05:13,2017-11-07 20:30:25
1345,2017-11-07,2017-11-07 08:06:05,2017-11-07 21:07:52
1254,2017-11-07,2017-11-07 08:06:23,2017-11-07 22:42:40
1344,2017-11-07,2017-11-07 08:07:10,2017-11-07 20:35:38
1491,2017-11-07,2017-11-07 08:07:48,2017-11-07 17:46:58
1327,2017-11-07,2017-11-07 08:08:08,2017-11-07 18:08:20
1142,2017-11-07,2017-11-07 08:09:37,2017-11-07 19:45:04
1296,2017-11-07,2017-11-07 08:10:09,2017-11-07 22:14:18
1251,2017-11-07,2017-11-07 08:12:20,2017-11-07 18:27:04
1127,2017-11-07,2017-11-07 08:13:02,2017-11-07 20:24:05
1098,2017-11-07,2017-11-07 08:13:27,2017-11-07 18:53:47
1330,2017-11-07,2017-11-07 08:13:38,2017-11-07 18:34:19
