proto,dip,dport,sip,sport,state,time,user
ssh,10.7.133.16,22,10.50.50.46,3780,success,2017-11-08 02:00:00,root
ssh,10.7.133.19,22,10.50.50.31,5756,success,2017-11-08 02:00:00,root
ssh,10.7.133.21,22,10.50.50.26,5807,success,2017-11-08 02:00:00,root
ssh,10.7.133.16,22,10.50.50.37,5065,success,2017-11-08 02:00:00,root
ssh,10.7.133.17,22,10.50.50.44,2811,success,2017-11-08 02:00:00,root
mysql,10.50.50.36,4443,10.64.105.75,1760,success,2017-11-08 07:15:21,1359
ssh,10.50.50.28,22,10.64.105.160,2378,success,2017-11-08 07:18:11,1397
ftp,10.50.50.28,21,10.64.105.13,2246,error,2017-11-08 07:22:55,1493
ssh,10.50.50.28,22,10.64.106.34,1759,success,2017-11-08 07:26:24,1210
mongodb,10.7.133.15,8005,10.64.105.112,2299,success,2017-11-08 07:27:54,1456
mongodb,10.50.50.28,8005,10.64.105.116,1529,success,2017-11-08 07:29:15,1204
ftp,10.50.50.43,21,10.64.105.107,2223,success,2017-11-08 07:29:50,1145
tds,10.50.50.29,54238,10.64.105.164,2097,success,2017-11-08 07:36:25,1167
sftp,10.50.50.26,22,10.64.105.54,1766,success,2017-11-08 07:38:46,1257
postgresql,10.50.50.26,5432,10.64.105.203,1780,success,2017-11-08 07:42:13,1417
sftp,10.50.50.28,22,10.64.105.137,2492,success,2017-11-08 07:47:08,1224
tds,10.50.50.26,54238,10.64.105.9,1720,success,2017-11-08 07:48:43,1307
postgresql,10.50.50.26,5432,10.64.105.75,1760,success,2017-11-08 07:54:11,1359
mongodb,10.50.50.29,8005,10.64.105.116,1529,success,2017-11-08 07:55:20,1204
sftp,10.50.50.28,22,10.64.106.45,2453,success,2017-11-08 07:55:53,1484
mongodb,10.50.50.46,8005,10.64.105.160,2378,success,2017-11-08 07:56:08,1397
tds,10.50.50.26,54238,10.64.105.36,1600,success,2017-11-08 07:58:53,1220
ftp,10.7.133.15,21,10.64.105.164,2097,success,2017-11-08 07:59:21,1167
mysql,10.50.50.26,4443,10.64.105.13,2246,success,2017-11-08 08:00:13,1493
ftp,10.7.133.16,21,10.64.105.54,1766,success,2017-11-08 08:00:23,1257
ssh,10.50.50.29,22,10.64.105.25,2217,success,2017-11-08 08:00:48,1154
mongodb,10.50.50.29,8005,10.64.105.183,2402,success,2017-11-08 08:02:11,1254
ssh,10.50.50.26,22,10.64.106.34,1759,success,2017-11-08 08:02:45,1210
tds,10.50.50.28,54238,10.64.105.72,2193,error,2017-11-08 08:03:19,1286
ftp,10.50.50.26,21,10.64.105.58,2080,success,2017-11-08 08:05:39,1457
tds,10.7.133.19,54238,10.64.106.20,1678,success,2017-11-08 08:06:23,1459
sftp,10.50.50.26,22,10.64.105.112,2299,success,2017-11-08 08:07:16,1456
mongodb,10.50.50.26,8005,10.64.105.249,1571,success,2017-11-08 08:07:40,1344
sftp,10.50.50.26,22,10.64.105.107,2223,success,2017-11-08 08:08:05,1145
