stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-12 02:00:00,2017-11-12 02:00:10,smtp,10.7.133.16,25,10.50.50.37,3256,6082,4301
2017-11-12 02:00:00,2017-11-12 02:00:10,smtp,10.7.133.21,25,10.50.50.26,5656,7476,8030
2017-11-12 02:00:00,2017-11-12 02:00:20,smtp,10.7.133.16,25,10.50.50.46,2751,7703,5446
2017-11-12 02:00:00,2017-11-12 02:00:10,smtp,10.7.133.19,25,10.50.50.31,3802,4157,5965
2017-11-12 02:00:00,2017-11-12 02:00:20,smtp,10.7.133.17,25,10.50.50.44,4918,5507,6360
2017-11-12 02:00:14,2017-11-12 02:00:15,ssh,10.7.133.16,22,10.50.50.46,2751,6333,1000
2017-11-12 02:00:14,2017-11-12 02:00:19,ssh,10.7.133.21,22,10.50.50.26,5656,8063,2622
2017-11-12 02:00:17,2017-11-12 02:00:17,ssh,10.7.133.21,22,10.50.50.26,5656,5106,1719
2017-11-12 02:00:18,2017-11-12 02:00:20,ssh,10.7.133.16,22,10.50.50.46,2751,7826,1101
2017-11-12 02:00:20,2017-11-12 02:00:22,ssh,10.7.133.21,22,10.50.50.26,5656,5326,2178
2017-11-12 02:00:21,2017-11-12 02:00:21,ssh,10.7.133.16,22,10.50.50.46,2751,7680,2396
2017-11-12 02:00:22,2017-11-12 02:00:26,ssh,10.7.133.16,22,10.50.50.37,3256,4155,3844
2017-11-12 02:00:23,2017-11-12 02:00:27,ssh,10.7.133.16,22,10.50.50.37,3256,4312,3542
2017-11-12 02:00:25,2017-11-12 02:00:27,ssh,10.7.133.19,22,10.50.50.31,3802,5604,459
2017-11-12 02:00:25,2017-11-12 02:00:26,ssh,10.7.133.17,22,10.50.50.44,4918,7939,2731
2017-11-12 02:00:25,2017-11-12 02:00:26,ssh,10.7.133.17,22,10.50.50.44,4918,6433,3695
2017-11-12 02:00:26,2017-11-12 02:00:29,ssh,10.7.133.16,22,10.50.50.46,2751,6515,484
2017-11-12 02:00:28,2017-11-12 02:00:28,ssh,10.7.133.19,22,10.50.50.31,3802,7062,2262
2017-11-12 02:00:28,2017-11-12 02:00:29,ssh,10.7.133.19,22,10.50.50.31,3802,6366,1348
2017-11-12 02:00:28,2017-11-12 02:00:31,ssh,10.7.133.16,22,10.50.50.46,2751,5702,2804
2017-11-12 02:00:30,2017-11-12 02:00:32,ssh,10.7.133.16,22,10.50.50.46,2751,6104,3512
2017-11-12 02:00:32,2017-11-12 02:00:35,ssh,10.7.133.19,22,10.50.50.31,3802,7849,1889
2017-11-12 09:00:01,2017-11-12 09:00:10,http,10.5.71.60,443,10.64.106.4,1556,831,1528026
2017-11-12 09:00:10,2017-11-12 09:01:07,http,10.5.71.60,443,10.64.106.4,1573,30576,1008404
2017-11-12 09:00:36,2017-11-12 09:01:34,http,10.5.71.60,443,10.64.106.4,1601,27763,210210
2017-11-12 09:02:03,2017-11-12 09:03:02,http,10.5.71.60,443,10.64.106.4,1607,17884,40283
2017-11-12 09:02:04,2017-11-12 09:02:15,http,54.222.60.218,443,10.64.105.205,2196,23980,4577870
2017-11-12 09:02:15,2017-11-12 09:02:59,http,54.222.60.218,443,10.64.105.205,2220,3527,65873
2017-11-12 09:03:34,2017-11-12 09:04:00,http,10.5.71.60,443,10.64.106.4,1625,44326,277901
2017-11-12 09:03:55,2017-11-12 09:04:07,http,54.222.60.218,443,10.64.105.205,2238,41286,1549038
2017-11-12 09:04:39,2017-11-12 09:05:34,http,54.222.60.218,443,10.64.105.205,2258,23790,6211
2017-11-12 09:04:54,2017-11-12 09:05:44,http,10.5.71.60,443,10.64.106.4,1643,12545,3928280
2017-11-12 09:05:38,2017-11-12 09:06:17,http,54.222.60.218,443,10.64.105.205,2290,3142,398507
2017-11-12 09:11:05,2017-11-12 09:11:30,http,10.63.120.70,443,10.64.106.32,1587,7414,476
2017-11-12 09:11:33,2017-11-12 09:12:25,http,10.63.120.70,443,10.64.106.32,1615,26639,1499942
2017-11-12 09:11:40,2017-11-12 09:12:34,http,10.63.120.70,443,10.64.106.32,1633,52,1656212
2017-11-12 09:11:56,2017-11-12 09:12:40,http,10.63.120.70,443,10.64.106.32,1654,6904,25591
2017-11-12 09:11:57,2017-11-12 09:12:15,http,10.63.120.70,443,10.64.106.32,1700,9887,400859
2017-11-12 09:12:18,2017-11-12 09:12:28,http,10.63.120.70,443,10.64.106.32,1674,4401,366931
2017-11-12 09:15:20,2017-11-12 09:15:23,http,10.63.120.70,443,10.64.106.32,1675,12777,1201612
2017-11-12 09:15:39,2017-11-12 09:15:49,ssh,10.50.50.26,22,10.64.106.27,1545,63,2056
2017-11-12 09:16:20,2017-11-12 09:16:29,http,10.63.120.70,443,10.64.105.122,1570,5548,193205
2017-11-12 09:16:29,2017-11-12 09:17:02,http,10.63.120.70,443,10.64.105.122,1586,70314,3758903
2017-11-12 09:16:38,2017-11-12 09:17:04,http,10.63.120.70,443,10.64.106.32,1688,49052,1404376
2017-11-12 09:17:21,2017-11-12 09:17:41,http,10.63.120.70,443,10.64.105.122,1609,2635,7969444
2017-11-12 09:17:50,2017-11-12 09:18:26,http,10.63.120.70,443,10.64.106.32,1690,60981,804393
2017-11-12 09:19:30,2017-11-12 09:20:17,http,10.63.120.70,443,10.64.106.32,1733,46306,4440550
2017-11-12 09:20:25,2017-11-12 09:20:35,ssh,10.50.50.28,22,10.64.105.3,1553,4113,2458
2017-11-12 09:20:25,2017-11-12 09:20:35,ssh,219.216.128.25,22,10.50.50.28,5110,60009827,8782
2017-11-12 09:20:35,2017-11-12 09:20:45,ssh,10.50.50.28,22,10.64.105.3,1553,210007672,130
2017-11-12 09:21:24,2017-11-12 09:37:11,smtp,10.5.71.60,25,222.189.244.116,58641,131,136
2017-11-12 09:21:42,2017-11-12 09:37:15,smtp,10.5.71.60,25,10.64.106.6,1616,173,144
2017-11-12 09:22:43,2017-11-12 09:39:03,smtp,10.5.71.60,25,10.116.216.71,2231,130,272
2017-11-12 09:23:36,2017-11-12 09:23:46,postgresql,10.7.133.16,5432,10.64.105.106,2280,2650,8397
2017-11-12 09:24:14,2017-11-12 09:43:32,smtp,10.5.71.60,25,10.64.106.13,2449,132,117
2017-11-12 09:29:31,2017-11-12 09:29:41,postgresql,10.50.50.29,5432,10.64.105.51,2290,4037,3260
2017-11-12 09:29:31,2017-11-12 09:29:41,ssh,219.216.128.25,22,10.50.50.29,5309,20009994,8659
2017-11-12 09:29:41,2017-11-12 09:29:51,postgresql,10.50.50.29,5432,10.64.105.51,2290,90006944,3106
2017-11-12 09:30:38,2017-11-12 09:30:48,ftp,10.50.50.29,21,10.64.105.38,1690,150007576,6736
2017-11-12 09:30:38,2017-11-12 09:30:48,ftp,10.50.50.29,21,10.64.105.38,1690,2710,1
