time,sip,sport,dip,dport,host
2017-11-18 09:00:03,10.64.106.38,2119,10.63.120.70,443,OA.hightech.com
2017-11-18 09:01:13,10.64.106.10,2443,10.5.71.60,443,email.hightech.com
2017-11-18 09:09:27,10.64.106.8,2412,10.5.71.60,443,email.hightech.com
2017-11-18 09:09:48,10.64.106.32,2390,10.5.71.60,443,email.hightech.com
2017-11-18 09:53:37,10.64.105.4,4129,61.129.48.158,80,www.51job.com
2017-11-18 09:58:31,10.64.105.4,4260, 115.159.231.141,80,http://bj.58.com/
2017-11-18 10:01:10,10.64.105.104,2238,10.7.133.16,80,
2017-11-18 10:01:47,10.64.105.161,2254,10.50.50.27,443,jira.hightech.com
2017-11-18 10:01:53,10.64.105.13,1737,10.63.120.70,443,OA.hightech.com
2017-11-18 10:04:05,10.64.105.151,1840,220.181.112.244,443,www.baidu.com
2017-11-18 10:04:30,10.64.105.58,2245,10.50.50.26,443,git.hightech.com
2017-11-18 10:05:49,10.64.106.32,2920,114.80.130.60,80,sports.sohu.com
2017-11-18 10:07:40,10.64.105.99,1976,10.50.50.40,80,
2017-11-18 10:08:53,10.64.105.135,2100,10.50.50.41,59500,
2017-11-18 10:11:45,10.64.105.155,2260,10.7.133.15,80,
2017-11-18 10:12:53,10.64.105.245,2416,10.50.50.44,55200,
2017-11-18 10:14:28,10.64.105.227,2017,10.50.50.29,443,lib02.hightech.com
2017-11-18 10:14:43,10.64.106.32,2500,122.228.250.89,443,www.hupu.com
2017-11-18 10:15:47,10.64.105.251,1938,10.50.50.26,443,git.hightech.com
2017-11-18 10:17:01,10.64.105.242,2177,10.63.120.70,443,OA.hightech.com
2017-11-18 10:18:19,10.64.106.32,3293,42.81.4.44,443,www.9ku.com
2017-11-18 10:20:04,10.64.106.8,3230,10.5.71.60,443,email.hightech.com
2017-11-18 10:23:01,10.64.106.8,2818,122.228.250.89,443,www.hupu.com
2017-11-18 10:34:35,10.64.106.6,2225,58.68.226.195,443,rayli.com.cn
2017-11-18 10:37:53,10.64.106.38,2731,10.5.71.60,443,email.hightech.com
2017-11-18 10:42:03,10.64.106.10,3122,106.11.47.20,443,www.tudou.com
2017-11-18 10:42:25,10.64.106.32,2749,10.63.120.70,443,OA.hightech.com
2017-11-18 10:42:29,10.64.106.6,2549,183.134.15.16,8080,v.6.cn
2017-11-18 10:44:24,10.64.106.6,2512,10.5.71.60,443,email.hightech.com
2017-11-18 10:44:51,10.64.106.10,2577,10.63.120.70,443,OA.hightech.com
2017-11-18 10:47:30,10.64.106.8,2922,124.127.108.78,443,www.ccb.com
2017-11-18 10:51:01,10.64.106.38,2397,220.181.112.244,443,www.baidu.com
2017-11-18 10:54:14,10.64.106.32,3088,10.5.71.60,443,email.hightech.com
2017-11-18 10:55:44,10.64.106.38,2871,220.181.112.244,443,www.baidu.com
2017-11-18 10:57:12,10.64.106.8,2762,10.63.120.70,443,OA.hightech.com
2017-11-18 10:57:38,10.64.106.32,2463,10.63.120.70,443,OA.hightech.com
2017-11-18 10:58:48,10.64.105.210,2324,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 10:59:49,10.64.105.4,4620, 106.3.131.82,80,http://www.jiaoshi.com.cn/
2017-11-18 11:01:58,10.64.106.8,3100,122.228.250.89,443,www.hupu.com
2017-11-18 11:02:44,10.64.105.219,4064, 119.147.213.172,80,http://www.job5156.com/
2017-11-18 11:02:49,10.64.105.161,2774,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 11:03:47,10.64.105.227,2519,10.50.50.26,443,git.hightech.com
2017-11-18 11:04:03,10.64.105.155,2830,220.181.112.244,443,www.baidu.com
2017-11-18 11:04:14,10.64.105.210,2317,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 11:04:40,10.64.105.227,2317,10.50.50.29,443,lib02.hightech.com
2017-11-18 11:04:55,10.64.106.10,3148,10.5.71.60,443,email.hightech.com
2017-11-18 11:05:40,10.64.106.6,1936,10.63.120.70,443,OA.hightech.com
2017-11-18 11:06:39,10.64.105.135,2237,10.50.50.27,443,jira.hightech.com
2017-11-18 11:06:52,10.64.105.147,1873,10.5.71.60,443,email.hightech.com
2017-11-18 11:07:28,10.64.105.151,2066,10.50.50.46,80,
2017-11-18 11:08:09,10.64.105.251,2195,115.231.22.28,443,www.suning.com
2017-11-18 11:09:46,10.64.105.242,2772,10.5.71.60,443,email.hightech.com
2017-11-18 11:10:32,10.64.105.155,2305,10.63.120.70,443,OA.hightech.com
2017-11-18 11:10:34,10.64.105.13,1810,10.50.50.29,443,lib02.hightech.com
2017-11-18 11:12:01,10.64.105.58,2613,10.50.50.26,443,git.hightech.com
2017-11-18 11:12:07,10.64.105.58,2383,10.7.133.15,56800,
2017-11-18 11:12:11,10.64.106.10,2746,118.26.21.75,80,kanshu.baidu.com
2017-11-18 11:12:26,10.64.106.32,3202,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 11:12:35,10.64.105.147,2346,61.147.117.242,8080,www.qc188.com
2017-11-18 11:12:40,10.64.106.38,2234,10.63.120.70,443,OA.hightech.com
2017-11-18 11:12:55,10.64.105.151,2404,121.197.2.81,443,www.vckbase.com
2017-11-18 11:15:29,10.64.105.13,1866,47.95.51.100,8080,www.zhihu.com
2017-11-18 11:15:35,10.64.105.104,2432,61.153.96.133,443,www.im286.com
2017-11-18 11:18:30,10.64.105.13,2045,10.50.50.44,57100,
2017-11-18 11:18:32,10.64.105.99,2582,10.5.71.60,443,email.hightech.com
2017-11-18 11:18:35,10.64.106.10,2882,74.86.12.172,8080,www.google.com
2017-11-18 11:18:46,10.64.106.6,1811,183.134.15.16,8080,v.6.cn
2017-11-18 11:19:16,10.64.105.245,2836,10.63.120.70,443,OA.hightech.com
2017-11-18 11:19:18,10.64.105.135,2418,10.50.50.26,443,git.hightech.com
2017-11-18 11:19:25,10.64.106.8,2999,14.215.138.36,8080,www.qidian.com
2017-11-18 11:19:42,10.64.106.10,2514,180.97.34.146,80,tieba.baidu.com
2017-11-18 11:20:37,10.64.105.155,2622,10.50.50.29,443,lib02.hightech.com
2017-11-18 11:20:46,10.64.106.38,2672,10.5.71.60,443,email.hightech.com
2017-11-18 11:23:45,10.64.105.67,1935,119.134.255.253,80,www.kugou.com
2017-11-18 11:24:14,10.64.105.242,2225,10.50.50.26,443,git.hightech.com
2017-11-18 11:25:20,10.64.105.245,3041,10.50.50.44,55200,
2017-11-18 11:26:00,10.64.105.13,2156,10.50.50.28,443,lib01.hightech.com
2017-11-18 11:26:18,10.64.106.32,2714,220.181.57.196,8080,v.baidu.com
2017-11-18 11:28:33,10.64.105.99,2325,10.50.50.40,80,
2017-11-18 11:29:04,10.64.105.161,2733,10.63.120.70,443,OA.hightech.com
2017-11-18 11:30:04,10.64.105.67,2227,10.5.71.60,443,email.hightech.com
2017-11-18 11:30:21,10.64.106.6,2352,10.63.120.70,443,OA.hightech.com
2017-11-18 11:30:44,10.64.105.151,2314,115.231.74.62,443,sports.cntv.cn
2017-11-18 11:30:57,10.64.105.155,2858,10.7.133.15,80,
2017-11-18 11:33:21,10.64.105.13,1944,10.50.50.44,57100,
2017-11-18 11:34:01,10.64.105.99,2462,205.186.156.55,80,www.instantshift.com
2017-11-18 11:34:34,10.64.105.58,2416,10.5.71.60,443,email.hightech.com
2017-11-18 11:35:26,10.64.105.242,2381,10.50.50.27,443,jira.hightech.com
2017-11-18 11:35:51,10.64.105.151,2202,10.5.71.60,443,email.hightech.com
2017-11-18 11:36:34,10.64.105.99,2441,10.5.71.60,443,email.hightech.com
