subject,topic
安全邮件崩溃,研发
税务,财务
财务报账,财务
成本控制,财务
资金,财务
工作汇报,综合
财务分析,财务
岗位说明书,人力资源
地图配置,研发
技术分享安排,研发
总结,研发
传输设置,研发
会计核算,财务
需求,研发
分析平台配置,研发
项目汇报,研发
终验文档,研发
测试脚本,研发
软件开发文档,研发
例会会议纪要,综合
年度工作目标,综合
需求调研,研发
需求与原型,研发
实施方案,研发
搜索详细设计,研发
近期工作总结,综合
项目进度计划,研发
例会,综合
项目过程文档,研发
用户手册,研发
项目计划、问题、风险,研发
api汇总,研发
项目测试数据统计,研发
概要设计,研发
部署文档,研发
前后端接口,研发
初验文档,研发
系统配置子系统,研发
招聘信息总结,人力资源
项目周报,研发
项目总结,研发
福利保障,人力资源
劳动合同,人力资源
合同,综合
绩效考核,综合
人员档案,人力资源
特殊字段说明,研发
Re:报名参加,综合
工作计划,综合
考勤相关,人力资源
资源申请,研发
月报总结,研发
公司发展规划,综合
年度计划,综合
EmergencyDataBaseFatalError!,研发
请假条,综合
事假,综合
请假四天，望批准,综合
【辞职信】,综合
【通知】设备已归还，请通过。,研发
Reply：辞职请求审核：批准。,综合
